rgn_id,loiczid,proportionArea,csquarecode,cellarea
2,16049.0,0.11,7707:485:4,603.03
2,16050.0,0.08,7707:485:3,603.03
2,16051.0,0.32,7707:384:4,603.03
2,16052.0,0.17,7707:384:3,603.03
2,16053.0,0.01,7707:383:4,603.03
2,16701.0,0.16,7710:489:2,629.47
2,16702.0,0.12,7710:489:1,629.47
2,16710.0,0.05,7710:485:1,629.47
2,16711.0,0.1,7710:384:2,629.47
2,16712.0,0.04,7710:384:1,629.47
2,16713.0,0.08,7710:383:2,629.47
2,16714.0,0.19,7710:383:1,629.47
2,16715.0,0.2,7710:382:2,629.47
2,16716.0,0.07,7710:382:1,629.47
2,16717.0,0.1,7710:381:2,629.47
2,16718.0,0.13,7710:381:1,629.47
2,16719.0,0.08,7710:380:2,629.47
2,16721.0,0.14,7709:489:2,629.47
2,16722.0,0.12,7709:489:1,629.47
2,16723.0,0.09,7709:488:2,629.47
2,16724.0,0.17,7709:488:1,629.47
2,16725.0,0.13,7709:487:2,629.47
2,16726.0,0.08,7709:487:1,629.47
2,16727.0,0.02,7709:486:2,629.47
2,16730.0,0.14,7709:485:1,629.47
2,16731.0,0.31,7709:384:2,629.47
2,16732.0,0.11,7709:384:1,629.47
2,16734.0,0.03,7709:383:1,629.47
2,16735.0,0.08,7709:382:2,629.47
2,16736.0,0.11,7709:382:1,629.47
2,16737.0,0.08,7709:381:2,629.47
2,16738.0,0.03,7709:381:1,629.47
2,16739.0,0.12,7709:380:2,629.47
2,16740.0,0.22,7709:380:1,629.47
2,16741.0,0.29,7708:489:2,629.47
2,16742.0,0.16,7708:489:1,629.47
2,16743.0,0.22,7708:488:2,629.47
2,16744.0,0.33,7708:488:1,629.47
2,16745.0,0.25,7708:487:2,629.47
2,16746.0,0.05,7708:487:1,629.47
2,16747.0,0.03,7708:486:2,629.47
2,16748.0,0.19,7708:486:1,629.47
2,16749.0,0.13,7708:485:2,629.47
2,16750.0,0.26,7708:485:1,629.47
2,16751.0,0.23,7708:384:2,629.47
2,16752.0,0.07,7708:384:1,629.47
2,16755.0,0.03,7708:382:2,629.47
2,16756.0,0.03,7708:382:1,629.47
2,16767.0,0.12,7707:486:2,629.47
2,16768.0,0.16,7707:486:1,629.47
2,16769.0,0.18,7707:485:2,629.47
2,16770.0,0.14,7707:485:1,629.47
2,16771.0,0.04,7707:384:2,629.47
2,17421.0,0.15,7710:479:4,655.85
2,17428.0,0.07,7710:476:3,655.85
2,17429.0,0.21,7710:475:4,655.85
2,17430.0,0.1,7710:475:3,655.85
2,17431.0,0.04,7710:374:4,655.85
2,17435.0,0.06,7710:372:4,655.85
2,17436.0,0.16,7710:372:3,655.85
2,17437.0,0.14,7710:371:4,655.85
2,17438.0,0.14,7710:371:3,655.85
2,17439.0,0.15,7710:370:4,655.85
2,17440.0,0.04,7710:370:3,655.85
2,17441.0,0.06,7709:479:4,655.85
2,17442.0,0.13,7709:479:3,655.85
2,17443.0,0.06,7709:478:4,655.85
2,17445.0,0.04,7709:477:4,655.85
2,17446.0,0.24,7709:477:3,655.85
2,17447.0,0.17,7709:476:4,655.85
2,17448.0,0.24,7709:476:3,655.85
2,17449.0,0.18,7709:475:4,655.85
2,17450.0,0.24,7709:475:3,655.85
2,17451.0,0.02,7709:374:4,655.85
2,17452.0,0.09,7709:374:3,655.85
2,17453.0,0.07,7709:373:4,655.85
2,17454.0,0.23,7709:373:3,655.85
2,17455.0,0.01,7709:372:4,655.85
2,17458.0,0.1,7709:371:3,655.85
2,17459.0,0.05,7709:370:4,655.85
2,17460.0,0.08,7709:370:3,655.85
2,17461.0,0.04,7708:479:4,655.85
2,17464.0,0.23,7708:478:3,655.85
2,17465.0,0.13,7708:477:4,655.85
2,17466.0,0.01,7708:477:3,655.85
2,17467.0,0.05,7708:476:4,655.85
2,17468.0,0.08,7708:476:3,655.85
2,17469.0,0.28,7708:475:4,655.85
2,17470.0,0.26,7708:475:3,655.85
2,17471.0,0.14,7708:374:4,655.85
2,17472.0,0.01,7708:374:3,655.85
2,17473.0,0.05,7708:373:4,655.85
2,17474.0,0.26,7708:373:3,655.85
2,17475.0,0.24,7708:372:4,655.85
2,17477.0,0.06,7708:371:4,655.85
2,17484.0,0.17,7707:478:3,655.85
2,17485.0,0.43,7707:477:4,655.85
2,17486.0,0.12,7707:477:3,655.85
2,17487.0,0.14,7707:476:4,655.85
2,17488.0,0.16,7707:476:3,655.85
2,17489.0,0.05,7707:475:4,655.85
2,18149.0,0.15,7710:475:2,682.19
2,18150.0,0.1,7710:475:1,682.19
2,18151.0,0.19,7710:374:2,682.19
2,18152.0,0.3,7710:374:1,682.19
2,18153.0,0.16,7710:373:2,682.19
2,18165.0,0.01,7709:477:2,682.19
2,18166.0,0.07,7709:477:1,682.19
2,18167.0,0.07,7709:476:2,682.19
2,18168.0,0.11,7709:476:1,682.19
2,18169.0,0.42,7709:475:2,682.19
2,18170.0,0.21,7709:475:1,682.19
2,18171.0,0.09,7709:374:2,682.19
2,18172.0,0.04,7709:374:1,682.19
2,18173.0,0.09,7709:373:2,682.19
2,18174.0,0.02,7709:373:1,682.19
2,18178.0,0.23,7709:371:1,682.19
2,18179.0,0.21,7709:370:2,682.19
2,18180.0,0.09,7709:370:1,682.19
2,18181.0,0.19,7708:479:2,682.19
2,18183.0,0.08,7708:478:2,682.19
2,18184.0,0.07,7708:478:1,682.19
2,18185.0,0.13,7708:477:2,682.19
2,18186.0,0.21,7708:477:1,682.19
2,18187.0,0.06,7708:476:2,682.19
2,18189.0,0.06,7708:475:2,682.19
2,18190.0,0.09,7708:475:1,682.19
2,18191.0,0.17,7708:374:2,682.19
2,18192.0,0.05,7708:374:1,682.19
2,18193.0,0.19,7708:373:2,682.19
2,18196.0,0.02,7708:372:1,682.19
2,18197.0,0.24,7708:371:2,682.19
2,18198.0,0.24,7708:371:1,682.19
2,18199.0,0.13,7708:370:2,682.19
2,18200.0,0.22,7708:370:1,682.19
2,18201.0,0.08,7707:479:2,682.19
2,18202.0,0.23,7707:479:1,682.19
2,18203.0,0.14,7707:478:2,682.19
2,18204.0,0.17,7707:478:1,682.19
2,18205.0,0.03,7707:477:2,682.19
2,18861.0,0.17,7710:469:4,708.47
2,18862.0,0.17,7710:469:3,708.47
2,18863.0,0.2,7710:468:4,708.47
2,18864.0,0.13,7710:468:3,708.47
2,18871.0,0.08,7710:364:4,708.47
2,18872.0,0.06,7710:364:3,708.47
2,18873.0,0.13,7710:363:4,708.47
2,18874.0,0.09,7710:363:3,708.47
2,18877.0,0.2,7710:361:4,708.47
2,18878.0,0.39,7710:361:3,708.47
2,18879.0,0.42,7710:360:4,708.47
2,18880.0,0.2,7710:360:3,708.47
2,18881.0,0.27,7709:469:4,708.47
2,18882.0,0.37,7709:469:3,708.47
2,18883.0,0.13,7709:468:4,708.47
2,18884.0,0.15,7709:468:3,708.47
2,18885.0,0.15,7709:467:4,708.47
2,18886.0,0.38,7709:467:3,708.47
2,18887.0,0.34,7709:466:4,708.47
2,18888.0,0.19,7709:466:3,708.47
2,18889.0,0.06,7709:465:4,708.47
2,18891.0,0.04,7709:364:4,708.47
2,18892.0,0.16,7709:364:3,708.47
2,18893.0,0.08,7709:363:4,708.47
2,18894.0,0.22,7709:363:3,708.47
2,18895.0,0.1,7709:362:4,708.47
2,18896.0,0.09,7709:362:3,708.47
2,18897.0,0.04,7709:361:4,708.47
2,18898.0,0.06,7709:361:3,708.47
2,18899.0,0.15,7709:360:4,708.47
2,18900.0,0.17,7709:360:3,708.47
2,18901.0,0.33,7708:469:4,708.47
2,18902.0,0.16,7708:469:3,708.47
2,18903.0,0.16,7708:468:4,708.47
2,18904.0,0.06,7708:468:3,708.47
2,18905.0,0.04,7708:467:4,708.47
2,18906.0,0.01,7708:467:3,708.47
2,18907.0,0.01,7708:466:4,708.47
2,18908.0,0.05,7708:466:3,708.47
