am_sid,rgn_id,rgn_name,sciname
W-Iso-119036,2,Nunavut,Saduria sabini
W-Iso-118732,2,Nunavut,Janira maculosa
W-Iso-118559,2,Nunavut,Eugerda tenuimana
W-Iso-118204,2,Nunavut,Bopyroides hippolytes
ITS-93340,2,Nunavut,Ampelisca aequicornis
ITS-95432,2,Nunavut,Aeginina longicornis
ITS-95438,2,Nunavut,Aeginella spinosa
ITS-96082,2,Nunavut,Bentheogennema burkenroadi
ITS-85272,2,Nunavut,Calanus finmarchicus
W-Msc-140584,2,Nunavut,Ennucula tenuis
W-Msc-141983,2,Nunavut,Megayoldia thraciaeformis
W-Msc-142002,2,Nunavut,Yoldiella lucida
SLB-65601,2,Nunavut,Leptychaster arcticus
W-Ase-124154,2,Nunavut,Crossaster papposus
W-Oph-245736,2,Nunavut,Ophiura sarsi
URM-2-1980,2,Nunavut,Ciona intestinalis
URM-2-2387,2,Nunavut,Lissoclinum aureum
URM-2-3818,2,Nunavut,Dendrodoa grossularia
URM-2-3852,2,Nunavut,Kukenthalia borealis
URM-2-3928,2,Nunavut,Polycarpa fibrosa
URM-2-4049,2,Nunavut,Styela coriacea
URM-2-821,2,Nunavut,Nymphon leptocheles
URM-2-838,2,Nunavut,Nymphon macrum
URM-2-788,2,Nunavut,Nymphon grossipes
URM-2-802,2,Nunavut,Nymphon hirtipes
W-Msc-153097,2,Nunavut,Gonatus fabricii
W-Msc-153083,2,Nunavut,Rossia palpebrosa
W-Msc-140596,2,Nunavut,Bathypolypus arcticus
W-Msc-140135,2,Nunavut,Ischnochiton albus
W-Sca-150534,2,Nunavut,Antalis entalis
W-Sca-196377,2,Nunavut,Antalis occidentalis
W-Sca-382378,2,Nunavut,Pulsellum lobatum
W-Sca-140015,2,Nunavut,Siphonodentalium lobatum
ITS-Mam-180655,2,Nunavut,Erignathus barbatus
ITS-Mam-622018,2,Nunavut,Pusa hispida
W-Msc-139490,2,Nunavut,Scaphander punctostriatus
W-Msc-139033,2,Nunavut,Clio pyramidata
W-Msc-139178,2,Nunavut,Clione limacina
ITS-95759,2,Nunavut,Penaeopsis serrata
ITS-95921,2,Nunavut,Sergestes arcticus
ITS-95923,2,Nunavut,Sergestes atlanticus
ITS-95948,2,Nunavut,Sergia robusta
ITS-95949,2,Nunavut,Sergia scintillans
ITS-684695,2,Nunavut,Sergia tenuiremis
ITS-95966,2,Nunavut,Pleoticus robustus
ITS-95979,2,Nunavut,Hymenopenaeus debilis
ITS-96051,2,Nunavut,Hemipenaeus carpenteri
ITS-96085,2,Nunavut,Benthesicymus bartletti
ITS-96086,2,Nunavut,Benthesicymus brasiliensis
ITS-96097,2,Nunavut,Gennadas bouvieri
ITS-96099,2,Nunavut,Gennadas capensis
ITS-96114,2,Nunavut,Acanthephyra purpurea
ITS-96115,2,Nunavut,Acanthephyra pelagica
ITS-96119,2,Nunavut,Acanthephyra acutifrons
ITS-96126,2,Nunavut,Meningodora mollis
ITS-96129,2,Nunavut,Meningodora vesca
ITS-96137,2,Nunavut,Systellaspis braueri
ITS-96148,2,Nunavut,Notostomus elegans
ITS-96149,2,Nunavut,Notostomus gibbosus
ITS-96165,2,Nunavut,Pasiphaea tarda
ITS-96166,2,Nunavut,Pasiphaea multidentata
ITS-96174,2,Nunavut,Pasiphaea sivado
W-Pol-130248,2,Nunavut,Lumbrineris latreilli
W-Pol-131290,2,Nunavut,Eusyllis blomstrandi
W-Pol-130467,2,Nunavut,Nothria conchylega
W-Pol-131574,2,Nunavut,Trichobranchus glacialis
W-Pol-130118,2,Nunavut,Glycera capitata
W-Pol-129984,2,Nunavut,Cossura longocirrata
W-Pol-129876,2,Nunavut,Capitella capitata
W-Pol-129884,2,Nunavut,Heteromastus filiformis
W-Pol-129898,2,Nunavut,Notomastus latericeus
W-Pol-130305,2,Nunavut,Maldane sarsi
W-Pol-129784,2,Nunavut,Amphicteis gunneri
W-Hyd-117870,2,Nunavut,Abietinaria abietina
W-Hyd-117702,2,Nunavut,Lafoea dumosa
W-Hyd-117606,2,Nunavut,Halecium tenellum
W-Hyd-117588,2,Nunavut,Halecium delicatulum
W-Hyd-117263,2,Nunavut,Aegina citrea
W-Hyd-117267,2,Nunavut,Solmundella bitentaculata
W-Hyd-135426,2,Nunavut,Lensia conoidea
URM-Cn-10098,2,Nunavut,Atolla wyvillei
URM-Cn-10124,2,Nunavut,Nausithoe punctata
W-Ase-123915,2,Nunavut,Ctenodiscus crispatus
W-Msc-140103,2,Nunavut,Hiatella arctica
W-Oph-125064,2,Nunavut,Amphipholis squamata
W-Prl-101160,2,Nunavut,Priapulus caudatus
W-Hyd-221241,2,Nunavut,Cunina duplicata
ITS-96209,2,Nunavut,Bathypalaemonella serratipalma
W-Msc-141821,2,Nunavut,Margarites helicinus
W-Msc-140521,2,Nunavut,Amauropsis islandica
W-Msc-141134,2,Nunavut,Retusa obtusa
W-Msc-139134,2,Nunavut,Cadlina laevis
W-Tnd-820823,2,Nunavut,Pseudotanais forcipatus
W-Iso-118754,2,Nunavut,Munna fabricii
