comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat
King Eider,Somateria spectabilis,FALSE,8,22680409,NA,LC
King Eider,Somateria spectabilis,FALSE,9,22680409,NA,LC
King eider,Somateria spectabilis,FALSE,5,22680409,NA,LC
Little auk,Alle alle,FALSE,5,22694837,NA,LC
Little auk,Alle alle,FALSE,8,22694837,NA,LC
Little auk,Alle alle,FALSE,9,22694837,NA,LC
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC
Narhwal,Monodon monoceros,FALSE,8,13704,NA,NT
Narhwal,Monodon monoceros,FALSE,9,13704,NA,NT
Narwhal,Monodon monoceros,FALSE,2,13704,NA,NT
Narwhal,Monodon monoceros,FALSE,3,13704,NA,NT
Narwhal,Monodon monoceros,FALSE,5,13704,NA,NT
Narwhale,Monodon monoceros,FALSE,4,13704,NA,NT
North Atlantic right whale,Eubalaena glacialis,FALSE,8,41712,NA,EN
North Atlantic right whale,Eubalaena glacialis,FALSE,9,41712,NA,EN
North Atlantic right whale,Eubalaena glacialis,FALSE,4,41712,NA,EN
Pink-footed Goose,Anser brachyrhynchus,FALSE,5,22679872,NA,LC
Pink-footed Goose,Anser brachyrhynchus,FALSE,8,22679872,NA,LC
Pink-footed Goose,Anser brachyrhynchus,FALSE,9,22679872,NA,LC
Polar bear,Ursus maritimus,TRUE,NA,22823,NA,VU
Pomarine,Stercorarius pomarinus,FALSE,8,22694240,NA,LC
Pomarine,Stercorarius pomarinus,FALSE,9,22694240,NA,LC
Pomarine skua,Stercorarius pomarinus,FALSE,5,22694240,NA,LC
Purple sandpiper,Calidris maritima,FALSE,8,22693420,NA,LC
Purple sandpiper,Calidris maritima,FALSE,9,22693420,NA,LC
Purple sandpipers,Calidris maritima,FALSE,5,22693420,NA,LC
Red knot,Calidris canutus,TRUE,NA,22693363,NA,NT
Ringed plover,Charadrius hiaticula,FALSE,5,22693759,NA,LC
Ringed Plover,Charadrius hiaticula,FALSE,8,22693759,NA,LC
Ringed Plover,Charadrius hiaticula,FALSE,9,22693759,NA,LC
Ringed seal,Pusa hispida,FALSE,1,41672,NA,LC
Ringed seal,Pusa hispida,FALSE,2,41672,NA,LC
Ringed seal,Pusa hispida,FALSE,3,41672,NA,LC
Ringed seal,Pusa hispida,FALSE,8,41672,NA,LC
Ringed seal,Pusa hispida,FALSE,9,41672,NA,LC
Ringed seal,Pusa hispida,FALSE,5,41672,NA,LC
Salmon,Salmo salar,FALSE,6,19855,NA,LR/lc
Salmon,Salmo salar,FALSE,8,19855,NA,LR/lc
Salmon,Salmo salar,FALSE,9,19855,NA,LR/lc
Sanderling,Calidris alba,FALSE,5,22693369,NA,LC
Sanderling,Calidris alba,FALSE,8,22693369,NA,LC
Sanderling,Calidris alba,FALSE,9,22693369,NA,LC
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN
Spectacled Eider,Somateria fischeri,FALSE,1,22680412,NA,LC
Spotted seal,Phoca largha,FALSE,1,17023,NA,DD
Thick-billed guillemot,Uria lomvia,TRUE,NA,22694847,NA,LC
Walrus,Odobenus rosmarus,FALSE,1,15106,NA,DD
Walrus,Odobenus rosmarus,FALSE,2,15106,NA,DD
Walrus,Odobenus rosmarus,FALSE,3,15106,NA,DD
Walrus,Odobenus rosmarus,FALSE,4,15106,NA,DD
Walrus,Odobenus rosmarus,FALSE,5,15106,NA,DD
White-beaked dolphin,Lagenorhynchus albirostris,FALSE,8,11142,NA,LC
White-beaked dolphin,Lagenorhynchus albirostris,FALSE,9,11142,NA,LC
White-beaked dolphin,Lagenorhynchus albirostris,FALSE,4,11142,NA,LC
White-beaked dolphin,Lagenorhynchus albirostris,FALSE,5,11142,NA,LC
