comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat,cat_txt,cat_score,year,cat_2016_score
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1981.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1981.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1981.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1981.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1981.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1982.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1982.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1982.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1982.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1982.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1983.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1983.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1983.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1983.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1983.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1984.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1984.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1984.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1984.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1984.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1985.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1985.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1985.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1985.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1985.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1986.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1986.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1986.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1986.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1986.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1987.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1987.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1987.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1987.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1987.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1988.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1988.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1988.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1988.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1988.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1989.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1989.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1989.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1989.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1989.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1990.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1990.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1990.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1990.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1990.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1991.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1991.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1991.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1991.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1991.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1992.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1992.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1992.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1992.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1992.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1993.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1993.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1993.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1993.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1993.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1994.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1994.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1994.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1994.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1994.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1995.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1995.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1995.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1995.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1995.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1996.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1996.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1996.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1996.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1996.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1997.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1997.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1997.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1997.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1997.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1998.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1998.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1998.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1998.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1998.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1999.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1999.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1999.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1999.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1999.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2e3,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2e3,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2e3,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2e3,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2e3,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2001.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2001.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2001.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2001.0,NA
