iucn_sid,iucn_rgn_name,presence,origin,distribution_code,rgn_id,ohi_rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat
22694861,Norway,Extant,Native,Native,6,Norway,Black guillemot,Cepphus grylle,FALSE,6,NA,LC
22694861,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Black guillemot,Cepphus grylle,FALSE,5,NA,LC
22694861,Greenland,Extant,Native,Native,8,West Greenland,Black guillemot,Cepphus grylle,FALSE,8,NA,LC
22694861,Greenland,Extant,Native,Native,9,East Greenland,Black guillemot,Cepphus grylle,FALSE,9,NA,LC
22694861,Norway,Extant,Native,Native,6,Norway,Black guillemot,Cepphus grylle,FALSE,6,NA,LC
22694861,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Black guillemot,Cepphus grylle,FALSE,5,NA,LC
22694861,Greenland,Extant,Native,Native,8,West Greenland,Black guillemot,Cepphus grylle,FALSE,8,NA,LC
22694861,Greenland,Extant,Native,Native,9,East Greenland,Black guillemot,Cepphus grylle,FALSE,9,NA,LC
22694861,Norway,Extant,Native,Native,6,Norway,Black guillemot,Cepphus grylle,FALSE,6,NA,LC
22694861,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Black guillemot,Cepphus grylle,FALSE,5,NA,LC
2477,Angola,Extant,Native,Native,NA,Angola,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Argentina,Extant,Native,Native,NA,Argentina,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Australia,Extant,Native,Native,NA,Australia,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Bangladesh,Extant,Native,Native,NA,Bangladesh,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Benin,Extant,Native,Native,NA,Benin,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Bermuda,Extant,Native,Native,NA,Bermuda,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Brazil,Extant,Native,Native,NA,Brazil,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Bahamas,Extant,Native,Native,NA,Bahamas,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Canada,Extant,Native,Native,2,Nunavut,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Canada,Extant,Native,Native,3,Beaufort,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Cocos (Keeling) Islands,Extant,Native,Native,NA,Cocos Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Côte d'Ivoire,Extant,Native,Native,NA,Ivory Coast,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Cook Islands,Extant,Native,Native,NA,Cook Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
