"cell_id","ocean","fao_id","rgn_name","proportionArea","rgn_id","area"
669,"Arctic",18,NA,NA,NA,NA
670,"Arctic",18,NA,NA,NA,NA
671,"Arctic",18,NA,NA,NA,NA
672,"Arctic",18,NA,NA,NA,NA
673,"Arctic",18,NA,NA,NA,NA
674,"Arctic",18,NA,NA,NA,NA
675,"Arctic",18,NA,NA,NA,NA
676,"Arctic",18,NA,NA,NA,NA
677,"Arctic",18,NA,NA,NA,NA
678,"Arctic",18,NA,NA,NA,NA
679,"Arctic",18,NA,NA,NA,NA
680,"Arctic",18,NA,NA,NA,NA
681,"Arctic",18,NA,NA,NA,NA
682,"Arctic",18,NA,NA,NA,NA
683,"Arctic",18,NA,NA,NA,NA
684,"Arctic",18,NA,NA,NA,NA
685,"Arctic",18,NA,NA,NA,NA
686,"Arctic",18,NA,NA,NA,NA
687,"Arctic",18,NA,NA,NA,NA
688,"Arctic",18,NA,NA,NA,NA
689,"Arctic",18,NA,NA,NA,NA
690,"Arctic",18,NA,NA,NA,NA
691,"Arctic",18,NA,NA,NA,NA
692,"Arctic",18,NA,NA,NA,NA
693,"Arctic",18,NA,NA,NA,NA
694,"Arctic",18,NA,NA,NA,NA
695,"Arctic",18,NA,NA,NA,NA
696,"Arctic",18,NA,NA,NA,NA
697,"Arctic",18,NA,NA,NA,NA
698,"Arctic",18,NA,NA,NA,NA
699,"Arctic",18,NA,NA,NA,NA
700,"Arctic",18,NA,NA,NA,NA
701,"Arctic",18,NA,NA,NA,NA
702,"Arctic",18,NA,NA,NA,NA
703,"Arctic",18,NA,NA,NA,NA
704,"Arctic",18,NA,NA,NA,NA
705,"Arctic",18,NA,NA,NA,NA
706,"Arctic",18,NA,NA,NA,NA
707,"Arctic",18,NA,NA,NA,NA
708,"Arctic",18,NA,NA,NA,NA
709,"Arctic",18,NA,NA,NA,NA
710,"Arctic",18,NA,NA,NA,NA
711,"Arctic",18,NA,NA,NA,NA
712,"Arctic",18,NA,NA,NA,NA
713,"Arctic",18,NA,NA,NA,NA
714,"Arctic",18,NA,NA,NA,NA
715,"Arctic",18,NA,NA,NA,NA
716,"Arctic",18,NA,NA,NA,NA
717,"Arctic",18,NA,NA,NA,NA
718,"Arctic",18,NA,NA,NA,NA
719,"Arctic",18,NA,NA,NA,NA
720,"Arctic",18,NA,NA,NA,NA
721,"Arctic",18,NA,NA,NA,NA
722,"Arctic",18,NA,NA,NA,NA
723,"Arctic",18,NA,NA,NA,NA
724,"Arctic",18,NA,NA,NA,NA
725,"Arctic",18,NA,NA,NA,NA
726,"Arctic",18,NA,NA,NA,NA
727,"Arctic",18,NA,NA,NA,NA
728,"Arctic",18,NA,NA,NA,NA
